predictor,train,test,1,2,3,4,5
annual_mean_temp,0,-0.0143199999999999,-0.0175000000000001,-0.02034,0.00249999999999995,-0.02374,0.00529999999999997
annual_precip,0.000219999999999998,0.0338200000000001,-0.0325,-0.0375200000000001,-0.0125,0.0549999999999999,0.01596
conifer_forest,0.00185999999999997,0.04998,-0.0712400000000001,-0.0140800000000001,0.07752,-0.0125000000000001,-0.02268
max_temp,0,0.0135000000000001,-0.0275000000000001,-0.05,-0.00749999999999995,0.01,-0.00804000000000005
min_temp,0,0.01164,-0.0125000000000001,-0.04688,-0.0175000000000001,0.00126000000000004,0.00797999999999999
mixed_shrub,0,0.0193800000000001,-0.0675,-0.02186,0.00750000000000006,-0.00249999999999995,-0.01736
ndvi,0,0.00378000000000001,-0.005,-0.00784000000000007,0.01624,0.00873999999999997,-0.01072
precip_wet_quarter,0,0.00852000000000008,0,-0.0734400000000001,-0.025,0.00375999999999999,-0.01872
road_density,9.9999999999989e-05,0.00102000000000002,-0.00873999999999997,0.00621999999999989,0.0125,-0.005,-0.00802000000000003
sagebrush,0.000319999999999987,0.0418200000000001,-0.04,0.0656,0.04876,0.0599999999999999,0.0133
tri,0,0.000140000000000029,-0.0325000000000001,-0.0343800000000001,-0.00749999999999995,-0.05626,-0.06672
